# {"exp_name": "imagined-sound", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 44100, "stim_db": 65, "noise_db": 45, "noise_array": null, "output_dir": "logs", "window_size": [1200, 900], "screen_num": 1, "full_screen": false, "force_quit": ["lctrl", "rctrl"], "participant": "foo", "monitor": null, "trigger_controller": null, "session": "999", "check_rms": null, "suppress_resamp": false, "version": "dev", "safe_flipping": null, "n_channels": 2, "trigger_duration": 0.01, "joystick": false, "verbose": null, "date": "2025-09-29 13_51_25.535820", "file": "C:\\Users\\stim\\MEGLab_Code\\GitHub_Packages\\expytest_packages\\imagined-sound\\src\\imagined_sound\\run_experiment.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
184.38927090005018	trial_id	NWF03_07-08.wav
184.43545820005238	play	None
184.43559920002008	flip	184.435331900022
186.55772370001068	stop	None
186.58514150005067	flip	186.5851373000187
187.4521173000103	flip	187.45211250003194
188.05352570000105	keypress	enter
188.101383500034	flip	188.101381400018
188.10148690000642	stimulus began at 184.435331900022. Response period began at 187.45211250003194, ended at 0.6014131999691017 (-186.85069930006284 s duration). Button press at 0.6014131999691017	None
188.10157660004916	trial_ok	None
189.31963890005136	trial_id	NWF03_07-09.wav
189.368822700053	play	None
189.36895170004573	flip	189.36868820001837
190.9893309000181	stop	None
191.01851830002852	flip	191.01850679999916
192.0018209000118	flip	192.00181670003803
194.20170610002242	flip	194.20170240005245
194.20186730002752	stimulus began at 189.36868820001837. Response period began at 192.00181670003803, ended at 194.14302790001966 (2.141211199981626 s duration). Button press at <NONE>	None
194.20200230000773	trial_ok	None
195.2345463000238	screen_text	In this block, you will hear sentences. After the sentence ends, there will be a brief delay and then the fixation circle will turn {color (187, 85, 102, 255)}pink{color (255, 255, 255, 255)}. When that happens, imagine that you are hearing the sentence again (but do not repeat it out loud), and press the response button when you are finished imagining the sentence. All trials will be {color (187, 85, 102, 255)}pink{color (255, 255, 255, 255)} this time, so press the button every time after you finish imagining. Press any key to continue.
195.2346635000431	flip	195.23454299999867
212.93333199998597	keypress	enter
212.95075880002696	flip	212.95075700001325
212.96854760003043	screen_text	Here we go!
212.96860320004635	flip	212.9685456000152
213.38415820000228	flip	213.38415620004525
213.63717320002615	trial_id	NWF03_07-10.wav
213.68493210000452	play	None
213.68506109999726	flip	213.68481170001905
215.65570679999655	stop	None
215.6848289000336	flip	215.6848253000062
216.48495450004702	flip	216.48494930000743
219.0348983000149	flip	219.03489460004494
219.03505600005155	stimulus began at 213.68481170001905. Response period began at 216.48494930000743, ended at 218.97617540002102 (2.4912261000135913 s duration). Button press at <NONE>	None
219.0351984000299	trial_ok	None
220.27207160001853	trial_id	NWF03_08-02.wav
220.31828610005323	play	None
220.3184124000254	flip	220.3181630000472
222.01713920000475	stop	None
222.0517259000335	flip	222.05172210000455
222.9349143000436	flip	222.93491000001086
225.20105530001456	flip	225.2010526000522
225.20118710002862	stimulus began at 220.3181630000472. Response period began at 222.93491000001086, ended at 225.15423820004798 (2.2193282000371255 s duration). Button press at <NONE>	None
225.2013116000453	trial_ok	None
226.4158462000196	trial_id	NWF03_08-04.wav
226.46831960004056	play	None
226.46845450002002	flip	226.46819830004824
228.0387986000278	stop	None
228.06811480002943	flip	228.06811069999821
229.01813250000123	flip	229.01812840002822
231.1680792000261	flip	231.16807580000022
231.1682464000187	stimulus began at 226.46819830004824. Response period began at 229.01812840002822, ended at 231.109258600045 (2.091130200016778 s duration). Button press at <NONE>	None
231.16838330001337	trial_ok	None
232.3803567000432	trial_id	NWF03_08-07.wav
232.43484220001847	play	None
232.43496460001916	flip	232.43472330004442
234.00062830001116	stop	None
234.03475620003883	flip	234.03475230000913
234.95135940000182	flip	234.9513556000311
237.08412910002517	flip	237.08412630000385
237.08424400002696	stimulus began at 232.43472330004442. Response period began at 234.9513556000311, ended at 237.03751140000531 (2.0861557999742217 s duration). Button press at <NONE>	None
237.08433670003433	trial_ok	None
238.3787570000277	trial_id	NWF03_08-08.wav
238.43475430004764	play	None
238.43489289999707	flip	238.4346230000374
240.50039990001824	stop	None
240.53483530000085	flip	240.53482970001642
241.40204170002835	flip	241.40203749999637
244.03427689999808	flip	244.03427380003268
244.03452330001164	stimulus began at 238.4346230000374. Response period began at 241.40203749999637, ended at 243.9882942000404 (2.586256700044032 s duration). Button press at <NONE>	None
244.03465810004855	trial_ok	None
245.24943100003293	trial_id	NWF03_10-06.wav
245.30145930004073	play	None
245.30159010004718	flip	245.30133450002177
246.88028570002643	stop	None
246.91795050003566	flip	246.9179454999976
247.7353240000084	flip	247.73531980003463
249.8845385000459	flip	249.88453450001543
249.8847051000339	stimulus began at 245.30133450002177. Response period began at 247.73531980003463, ended at 249.83449750003638 (2.0991777000017464 s duration). Button press at <NONE>	None
249.88484960002825	trial_ok	None
251.04131460003555	trial_id	NWF03_10-09.wav
251.10138990002451	play	None
251.1015152000473	flip	251.10127110005124
252.28453590004938	stop	None
252.31778880005004	flip	252.31778490002034
253.10101080004824	flip	253.10100750002312
254.85075000004144	flip	254.85074710001936
